Affymetrix Gene ID,index,Y,O2,Old,O2/Y,Old/Y,Score(d),q-value (%),FlyBase,Gene Symbol,LocusLink,EC Number,Biological Process (GO),Cellular Component (GO),Molecular Function (GO),Pathways KEGG,InterPro,Pfam,BLOCKS,SCOP
153307_at,12108,126,142,326,1.1,2.6,2.535728159,0.012093869,FBgn0001226,Hsp27,39078,,9408 // response to heat // inferred from sequence similarity /// 9408 // response to heat // non-traceable author statement,,3773 // heat shock protein // non-traceable author statement /// 3773 // heat shock protein // inferred from sequence similarity,,IPR000531 // TonB-dependent receptor protein /// IPR002068 // Heat shock protein Hsp20,HSP20 // Hsp20/alpha crystallin family;1.2e-43,IPB002068 // Heat shock hsp20 (alpha crystallin) proteins family;7.2e-13,
141353_at,154,329,468,842,1.4,2.6,3.156363708,0.012093869,FBgn0038299,CG6687,41829,,,,4868 // serpin // inferred from sequence similarity,,"IPR000454 // Eubacterial/plasma membrane H+-transporting two-sector ATPase, C subunit /// IPR000215 // Serpin",serpin // Serpin (serine protease inhibitor);6.9e-69,IPB000454 // Eubacterial and plasma membrane ATP synthase subunit C;1e-06,d1by7a_ // e.1.1.1 // Plasminogen activator inhibitor-2 ;2.22e-94
147699_at,6500,131,116,330,-1.1,2.5,3.954673599,0.012093869,FBgn0034761,CG4250,37599,,,,,,IPR000561 // EGF-like domain,,,
147547_at,6348,1099,1575,2754,1.4,2.5,6.192116694,0.012093869,FBgn0034512,CG18067,37314,,,,,,IPR002073 // 3'5'-cyclic nucleotide phosphodiesterase,,IPB001343 // Hemolysin-type calcium-binding region;0.00026,
148352_at,7153,1,1,2,1.1,2.5,5.864584847,0.012093869,FBgn0035806,PGRP-SD,38858,,6952 // defense response // non-traceable author statement /// 6955 // immune response // inferred from sequence similarity,5576 // extracellular // inferred from sequence similarity /// 5887 // integral to plasma membrane // non-traceable author statement,8745 // N-acetylmuramoyl-L-alanine amidase // extended:inferred from electronic annotation; Amidase_2; 2.4e-49 /// 16019 // peptidoglycan recognition // non-traceable author statement /// 16019 // peptidoglycan recognition // inferred from sequence similarity,,,Amidase_2 // N-acetylmuramoyl-L-alanine amidase;2.4e-49,,d1lba__ // d.118.1.1 // Bacteriophage T7 lysozyme (Zn amidase) ;6.01e-46
145547_r_at,4348,2139,3060,5189,1.4,2.4,3.06215204,0.012093869,FBgn0031277,CG13947,33250,,,,,,,,IPB001073 // Complement C1q protein;0.00068,
146507_at,5308,212,177,510,-1.2,2.4,6.988059651,0.012093869,FBgn0032810,CG13077,35252,,,,,,,,,
152709_at,11510,215,297,504,1.4,2.3,4.193508411,0.012093869,FBgn0035717,CG10078,,,,,,,,,,
143097_f_at,1898,886,1215,2027,1.4,2.3,1.914910383,0.113709548,FBgn0000277,CecA2,43597,,6961 // antibacterial humoral response (sensu Invertebrata) // inferred from sequence similarity /// 6961 // antibacterial humoral response (sensu Invertebrata) // non-traceable author statement /// 6961 // antibacterial humoral response (sensu Invertebrata) // inferred from expression pattern,,8225 // Gram-negative antibacterial peptide // non-traceable author statement /// 3799 // antifungal peptide // non-traceable author statement /// 8224 // Gram-positive antibacterial peptide // non-traceable author statement /// 3797 // antibacterial peptide // inferred from sequence similarity /// 3797 // antibacterial peptide // non-traceable author statement /// 8224 // Gram-positive antibacterial peptide // inferred from direct assay /// 8225 // Gram-negative antibacterial peptide // inferred from direct assay,,IPR003253 // Fly sarcotoxin and cecropin /// IPR000875 // Cecropin,cecropin // Cecropin family;1.6e-15,IPB000875 // Cecropin;4.7e-17,
152183_at,10984,45,51,103,1.1,2.3,2.796550122,0.012093869,FBgn0036627,CG4680,39824,,,,,,,,,
150335_at,9136,81,56,182,-1.4,2.2,4.247285579,0.012093869,FBgn0038914,CG17820,42578,,,,,,,,,
146994_at,5795,60,54,134,-1.1,2.2,5.029623477,0.012093869,FBgn0033596,CG7738,36186,,,,,,,,IPB001196 // Ribosomal protein L15;0.008,
146711_at,5512,409,610,890,1.5,2.2,6.242107372,0.012093869,FBgn0033129,Tsp42Eh,35617,,,16021 // integral to membrane // inferred from sequence similarity,,,IPR000301 // CD9/CD37/CD63 antigen,transmembrane4 // Tetraspanin family;1.1e-09  /// transmembrane4 // Tetraspanin family;1.1e-28,IPB000301 // Transmembrane 4 family;4.1e-34,
143096_f_at,1897,1044,1335,2248,1.3,2.2,2.268168179,0.03365406,FBgn0000276,CecA1,43596,,6961 // antibacterial humoral response (sensu Invertebrata) // inferred from direct assay /// 6961 // antibacterial humoral response (sensu Invertebrata) // inferred from sequence similarity /// 6961 // antibacterial humoral response (sensu Invertebrata) // non-traceable author statement /// 6961 // antibacterial humoral response (sensu Invertebrata) // inferred from expression pattern,5576 // extracellular // inferred from direct assay,8225 // Gram-negative antibacterial peptide // non-traceable author statement /// 8225 // Gram-negative antibacterial peptide // inferred from expression pattern /// 3799 // antifungal peptide // non-traceable author statement /// 8224 // Gram-positive antibacterial peptide // non-traceable author statement /// 3797 // antibacterial peptide // inferred from sequence similarity /// 3797 // antibacterial peptide // non-traceable author statement /// 8224 // Gram-positive antibacterial peptide // inferred from direct assay /// 8225 // Gram-negative antibacterial peptide // inferred from direct assay,,IPR003253 // Fly sarcotoxin and cecropin /// IPR000875 // Cecropin,cecropin // Cecropin family;1.6e-15,IPB000875 // Cecropin;4.7e-17,
153365_at,12166,443,420,952,-1.1,2.2,5.377432595,0.012093869,FBgn0032773,CG15825,35211,,,,,,,,IPB000258 // Bacterial ice-nucleation proteins octamer repeat;0.0013,
151112_s_at,9913,1,1,2,-1.0,2.1,7.713978953,0.012093869,FBgn0040626,CG18674,,,,,,,,,,
144724_at,3525,136,161,290,1.2,2.1,7.455370384,0.012093869,FBgn0030079,CG7267,31831,,,,,,,,PR00122 // Vacuolar ATP synthase 16kD subunit signature;0.0059,
142398_at,1199,222,168,472,-1.3,2.1,4.72973295,0.012093869,FBgn0033630,CG13200,36231,,,,,,,,PR01217 // Proline rich extensin signature;0.00012,
151839_at,10640,818,930,1728,1.1,2.1,11.23857936,0.012093869,FBgn0032427,CG5453,,,,,,,,,,
153527_at,12328,28,40,59,1.4,2.1,4.006803659,0.012093869,FBgn0030309,CG1572,32098,,,,,,,,,
148424_at,7225,68,90,141,1.3,2.1,3.96026117,0.012093869,FBgn0035929,CG13311,39008,,,,5198 // structural molecule // non-traceable author statement,,IPR001952 // Alkaline phosphatase,,,
150836_at,9637,61,70,126,1.2,2.1,7.891414845,0.012093869,FBgn0039684,Obp99d,43496,,,,,,,,,
144832_at,3633,9,8,18,-1.1,2.1,5.076469842,0.012093869,FBgn0030244,CG2157,32018,,,,,,,,IPB000817 // Prion protein;0.00075,
146014_at,4815,63,81,129,1.3,2.0,2.733611187,0.012093869,FBgn0032002,CG8353,34123,EC:3.5.4.5      ,,,4126 // cytidine deaminase // inferred from sequence similarity /// 8270 // zinc binding // extended:inferred from electronic annotation; CMP_cyt_deam; 2.3e-21,MAP00240 // Pyrimidine metabolism,"IPR002125 // Cytidine/deoxycytidylate deaminase, zinc-binding region",dCMP_cyt_deam // Cytidine and deoxycytidylate deaminase;2.3e-21,,d1aln_1 // c.97.1.1 // Cytidine deaminase ;6.48e-34
143238_at,2039,141,132,288,-1.1,2.0,5.102699165,0.012093869,FBgn0002562,Lsp1&agr;,32199,,,5616 // larval serum protein complex // inferred from direct assay /// 5576 // extracellular // non-traceable author statement /// 5616 // larval serum protein complex // inferred from sequence similarity,45735 // nutrient reservoir // non-traceable author statement,,"IPR005204 // Hemocyanin, N-terminal /// IPR000896 // Arthropod hemocyanin/insect LSP /// IPR005203 // Hemocyanin, C-terminal","hemocyanin // Hemocyanin, copper containing domain;2.3e-95  /// hemocyanin_C // Hemocyanin, ig-like domain;4e-103  /// hemocyanin_N // Hemocyanin, all-alpha domain;1.8e-39",IPB000896 // Arthropod hemocyanin/insect LSP;5.3e-131,"d1lla_1 // a.85.1.1 // Hemocyanin, N-terminal domain ;8.13e-29  /// d1hc2_2 // a.86.1.1 // Hemocyanin ;6.7e-79  /// d1hc2_3 // b.1.1.5 // Hemocyanin, C-terminal domain ;1.43e-82"
152086_at,10887,264,318,529,1.2,2.0,4.05872674,0.012093869,FBgn0036106,CG6409,39220,,6506 // GPI anchor biosynthesis // inferred from sequence similarity,5783 // endoplasmic reticulum // inferred from sequence similarity,,,,,IPB003496 // ABA/WDS induced protein;0.0016,
148084_at,6885,2,2,4,-1.0,2.0,3.625627733,0.012093869,FBgn0035409,CG14963,38383,,,,,,,,,
150175_at,8976,19,29,37,1.5,2.0,1.862661115,0.113709548,FBgn0038673,CG14286,42280,,,,,,,,,
153434_at,12235,2663,3491,5200,1.3,2.0,4.790475996,0.012093869,FBgn0001208,Hn,38871,EC:1.14.16.1    ,6559 // phenylalanine catabolism // non-traceable author statement /// 6726 // eye pigment biosynthesis // inferred from direct assay,,4511 // tyrosine 3-monooxygenase // extended:inferred from electronic annotation; 1.14.16.2; 1e-196 /// 4505 // phenylalanine 4-monooxygenase // inferred from sequence similarity /// 4505 // phenylalanine 4-monooxygenase // inferred from direct assay /// 16597 // amino acid binding // extended:Unknown; ACT; 2.8e-05 /// 4505 // phenylalanine 4-monooxygenase // non-traceable author statement /// 4511 // tyrosine 3-monooxygenase // extended:inferred from electronic annotation; 1.14.16.2; 4.97e-188 /// 4510 // tryptophan 5-monooxygenase // non-traceable author statement,"MAP00380 // Tryptophan metabolism /// MAP00400 // Phenylalanine, tyrosine and tryptophan biosynthesis","IPR002912 // Amino acid-binding ACT /// IPR001273 // Aromatic amino acid hydroxylase /// IPR005961 // Phenylalanine-4-hydroxylase, tetrameric form",biopterin_H // Biopterin-dependent aromatic amino acid h;4.6e-298  /// ACT // ACT domain;2.8e-05,IPB001086 // Prephenate dehydratase (PDT);0.004,d1phza1 // d.58.18.3 // Phenylalanine hydroxylase N-terminal domain ;6.88e-12  /// d1phza2 // d.178.1.1 // Phenylalanine hydroxylase ;3.36e-136
142335_at,1136,531,738,1032,1.4,1.9,2.714393133,0.012093869,FBgn0037063,CG9391,40346,EC:3.1.3.25     ,16311 // dephosphorylation // non-traceable author statement,,4437 // inositol/phosphatidylinositol phosphatase // extended:Unknown; inositol_P; 6e-110 /// 8934 // myo-inositol-1(or 4)-monophosphatase // non-traceable author statement,MAP00521 // Streptomycin biosynthesis /// MAP00562 // Inositol phosphate metabolism,IPR000760 // Inositol monophosphatase,inositol_P // Inositol monophosphatase family;6e-110,IPB000760 // Inositol monophosphatase;3.1e-36,d2hhma_ // e.7.1.1 // Inositol monophosphatase ;2.16e-77
145970_at,4771,229,234,444,1.0,1.9,5.5578962,0.012093869,FBgn0031931,CG18589,,,,,,,,,,
146296_at,5097,1,1,2,1.4,1.9,1.698430497,0.255501987,FBgn0032443,CG15486,,,,,,,,,,
146559_at,5360,3720,4041,7127,1.1,1.9,9.255138435,0.012093869,FBgn0032897,CG9336,35355,,,,,,,,,
145870_at,4671,31,32,60,1.0,1.9,4.466940695,0.012093869,FBgn0031775,CG9150,33856,,,,"16491 // oxidoreductase // extended:Unknown; adh_short; 6.7e-40 /// 16614 // oxidoreductase, acting on CH-OH group of donors // inferred from sequence similarity",,IPR002198 // Short-chain dehydrogenase/reductase SDR /// IPR002347 // Glucose/ribitol dehydrogenase,adh_short // short chain dehydrogenase;6.7e-40,IPB001509 // NAD dependent epimerase/dehydratase family;0.0012,d1h5qa_ // c.2.1.2 // Mannitol dehydrogenase ;2.2e-52
152155_at,10956,742,699,1413,-1.1,1.9,6.433895409,0.012093869,FBgn0032899,CG9338,35357,,,,,,,,,
143005_at,1806,52,78,98,1.5,1.9,1.889033697,0.113709548,FBgn0025628,EG:22E5.5,31174,,,,16491 // oxidoreductase // extended:Unknown; Rieske; 1.5e-17,,"IPR005806 // Rieske [2Fe-2S] domain /// IPR001327 // FAD-dependent pyridine nucleotide-disulphide oxidoreductase /// IPR001100 // Pyridine nucleotide-disulphide oxidoreductase, class I",Rieske // Rieske [2Fe-2S] domain;1.5e-17  /// pyr_redox // Pyridine nucleotide-disulphide oxidoreducta;4e-70,IPB001281 // Rieske iron-sulfur protein 2Fe-2S subunit;7.6e-06,"d1fqta_ // b.33.1.1 // Rieske-type ferredoxin associated with biphenyl dioxygenase ;6.89e-11  /// d1d7ya3 // d.87.1.1 // NADH-dependent ferredoxin reductase, BphA4 ;1.53e-07  /// d1d7ya1 // c.3.1.5 // NADH-dependent ferredoxin reductase, BphA4 ;4.02e-38  /// d1d7ya1 // c.3.1.5 // NADH-dependent ferredoxin reductase, BphA4 ;8.65e-39  /// d1d7ya1 // c.3.1.5 // NADH-dependent ferredoxin reductase, BphA4 ;5.26e-39  /// d1fqta_ // b.33.1.1 // Rieske-type ferredoxin associated with biphenyl dioxygenase ;6.56e-10  /// d1fqta_ // b.33.1.1 // Rieske-type ferredoxin associated with biphenyl dioxygenase ;3.05e-11"
146455_at,5256,14,10,26,-1.4,1.9,2.429883967,0.012093869,FBgn0032712,CG17324,,,,,,,,,,
143273_at,2074,743,586,1381,-1.3,1.9,7.855695133,0.012093869,FBgn0002856,Acp26Ab,33816,,45297 // post-mating behavior // non-traceable author statement /// 18991 // oviposition // non-traceable author statement,5576 // extracellular // non-traceable author statement,5180 // peptide hormone // non-traceable author statement,,,,,
147433_at,6234,140,164,261,1.2,1.9,2.907387656,0.012093869,FBgn0034331,CG15067,37102,,,,,,,,,
146712_at,5513,45,55,83,1.2,1.8,2.896209568,0.012093869,FBgn0033130,Tsp42Ei,35618,,,16021 // integral to membrane // inferred from sequence similarity,,,IPR000301 // CD9/CD37/CD63 antigen,transmembrane4 // Tetraspanin family;1.5e-53,IPB000425 // MIP family;6.4e-06,
150883_at,9684,14,18,26,1.2,1.8,2.252300352,0.03365406,FBgn0039759,CG9733,43601,EC:3.4.21       ,6952 // defense response // non-traceable author statement,,8439 // monophenol monooxygenase activator // inferred from sequence similarity /// 4252 // serine-type endopeptidase // inferred from sequence similarity /// 4295 // trypsin // extended:inferred from electronic annotation; rypsin; 1.2e-62,,"IPR001314 // Chymotrypsin serine protease, family S1 /// IPR001254 // Serine protease, trypsin family",trypsin // Trypsin;1.2e-62,"IPB000126 // Serine proteases, V8 family;3.6e-05",d1autc_ // b.47.1.2 // Activated protein c (autoprothrombin IIa) ;1.18e-69
151310_at,10111,32,37,59,1.1,1.8,3.598641718,0.012093869,FBgn0040837,CG8620,50310,,,,,,,,,
150394_at,9195,24,32,44,1.4,1.8,8.003627438,0.012093869,FBgn0039008,CG6972,42684,,,,,,,,,
153817_at,12618,704,947,1285,1.3,1.8,7.309151593,0.012093869,FBgn0003514,sqh,31554,EC:3.6.4.1      ,16288 // cytokinesis // non-traceable author statement /// 7300 // nurse cell/oocyte transport // traceable author statement,5860 // non-muscle myosin // non-traceable author statement /// 5860 // non-muscle myosin // inferred from sequence similarity,8570 // myosin ATPase // inferred from sequence similarity /// 5509 // calcium ion binding // non-traceable author statement,MAP00230 // Purine metabolism,IPR002048 // Calcium-binding EF-hand,efhand // EF hand;1.3e-06,,d1wdcb_ // a.39.1.5 // Myosin Essential Chain ;3.05e-39
147127_s_at,5928,1313,1711,2394,1.3,1.8,2.638693918,0.012093869,FBgn0033788,CG13323,36433,,,,,,,,,
145206_at,4007,94,104,171,1.1,1.8,4.053200713,0.012093869,FBgn0030782,CG18358,32656,,,,,,,,,
142300_at,1101,76,72,138,-1.1,1.8,5.983482051,0.012093869,FBgn0015229,glec,42571,,,,,,,,,
153579_at,12380,15,20,28,1.3,1.8,5.183217321,0.012093869,FBgn0011703,RnrL,34392,EC:1.17.4.1     ,6260 // DNA replication // non-traceable author statement,5971 // ribonucleoside-diphosphate reductase complex // inferred from sequence similarity,4748 // ribonucleoside-diphosphate reductase // inferred from sequence similarity /// 4748 // ribonucleoside-diphosphate reductase // non-traceable author statement,MAP00230 // Purine metabolism /// MAP00240 // Pyrimidine metabolism,IPR000788 // Ribonucleotide reductase large subunit /// IPR005144 // ATP cone domain,"ribonuc_red_lg // Ribonucleotide reductase, all-alpha d;2.3e-31  /// ribonuc_red_lgC // Ribonucleotide reductase, barrel doma;0  /// ATP-cone // ATP cone domain;1.2e-25",IPB000788 // Ribonucleotide reductase large subunit;1.9e-162,"d1rlr_2 // c.7.1.2 // R1 subunit of ribonucleotide reductase, C-terminal domain ;1.32e-191"
153785_at,12586,288,208,519,-1.4,1.8,5.543201097,0.012093869,FBgn0034117,CG7997,36829,EC:3.2.1.22     ,,,"8456 // alpha-N-acetylgalactosaminidase // extended:inferred from electronic annotation; 3.2.1.49; 1.6e-139 /// 4557 // alpha-galactosidase // inferred from sequence similarity /// 8456 // alpha-N-acetylgalactosaminidase // extended:inferred from electronic annotation; 3.2.1.49; 6.27e-141 /// 4553 // hydrolase, hydrolyzing O-glycosyl compounds // extended:Unknown; Melibiase; 3.9e-12 /// 4553 // hydrolase, hydrolyzing O-glycosyl compounds // extended:Unknown; Melibiase; 1.2e-14",MAP00052 // Galactose metabolism /// MAP00561 // Glycerolipid metabolism /// MAP00600 // Sphingoglycolipid metabolism /// MAP00603 // Globoside metabolism,"IPR000111 // Glycoside hydrolase, clan GH-D /// IPR002287 // Glycoside hydrolase, Melibiase /// IPR002241 // Glycoside hydrolase, family 27",Melibiase // Melibiase;1.2e-14,IPB000111 // Glycosyl hydrolase clan GH-D;6.2e-41,
146585_at,5386,39,31,69,-1.2,1.8,5.130167121,0.012093869,FBgn0032945,CG8665,35407,EC:1.5.1.6      ,,,"4029 // aldehyde dehydrogenase (NAD+) // extended:Unknown; 1.2.1.3; 1.11e-164 /// 16155 // formyltetrahydrofolate dehydrogenase // inferred from sequence similarity /// 4029 // aldehyde dehydrogenase (NAD+) // extended:Unknown; 1.2.1.3; 6.5e-164 /// 19145 // aminobutyraldehyde dehydrogenase // extended:Unknown; 1.2.1.19; 7.6e-159 /// 19145 // aminobutyraldehyde dehydrogenase // extended:Unknown; 1.2.1.19; 1.89e-160 /// 8802 // betaine-aldehyde dehydrogenase // extended:Unknown; 1.2.1.8; 1.9e-157 /// 8802 // betaine-aldehyde dehydrogenase // extended:Unknown; 1.2.1.8; 6.36e-160 /// 16742 // hydroxymethyl-, formyl- and related transferase // extended:Unknown; formyl_transf; 9.9e-41",MAP00670 // One carbon pool by folate,"IPR005793 // Formyl transferase, C-terminal /// IPR002376 // Formyl transferase, N-terminal /// IPR001555 // Phosphoribosylglycinamide formyltransferase, active site /// IPR002086 // Aldehyde dehydrogenase /// IPR006163 // Phosphopantetheine-binding domain","formyl_trans_C // Formyl transferase, C-terminal domain;0.012  /// aldedh // Aldehyde dehydrogenase family;2.4e-220  /// formyl_transf // Formyl transferase;9.9e-41",IPB001555 // Phosphoribosylglycinamide formyltransferase active site;0.0021,"d1bi9a_ // c.82.1.1 // Aldehyde reductase (dehydrogenase), ALDH ;1.19e-163  /// d1fmta2 // c.65.1.1 // Methionyl-tRNAfmet formyltransferase ;7.22e-41"
151822_at,10623,223,324,398,1.5,1.8,2.72136971,0.012093869,FBgn0014018,Rel,41087,,6955 // immune response // traceable author statement /// 6967 // antifungal polypeptide induction // inferred from mutant phenotype /// 6963 // antibacterial polypeptide induction // non-traceable author statement /// 6955 // immune response // inferred from expression pattern /// 6963 // antibacterial polypeptide induction // inferred from mutant phenotype,5634 // nucleus // non-traceable author statement,3700 // transcription factor // non-traceable author statement /// 3704 // specific RNA polymerase II transcription factor // non-traceable author statement,,IPR000451 // NF-kappa-B/Rel/dorsal family /// IPR002909 // Cell surface receptor IPT/TIG /// IPR002110 // Ankyrin,TIG // IPT/TIG domain;3.3e-06  /// RHD // Rel homology domain (RHD);4.6e-23  /// ank // Ankyrin repeat;9.3e-21,PR01415 // Ankyrin repeat signature;0.0031,"d1svcp1 // b.1.1.5 // p50 subunit of NF-kappa B transcription factor, C-terminal domain ;3.25e-33  /// d1a3qa2 // b.2.5.1 // p52 subunit of NF-kappa B (NFKB), N-terminal domain ;6.03e-57"
146214_at,5015,65,57,115,-1.1,1.8,4.713255015,0.012093869,FBgn0032322,CG16743,34517,,,,,,IPR002965 // Proline-rich extensin,,PR01217 // Proline rich extensin signature;0.009,
144115_at,2916,69,68,123,-1.0,1.8,5.822528142,0.012093869,FBgn0026084,cib,31359,,7420 // brain development // inferred from mutant phenotype,,3779 // actin binding // inferred from sequence similarity,,IPR001152 // Thymosin beta-4,Thymosin // Thymosin beta-4 family;5.4e-06  /// Thymosin // Thymosin beta-4 family;5.3e-20,IPB001152 // Thymosin beta-4;1e-22,
143479_at,2280,1,1,2,1.1,1.8,3.617345764,0.012093869,FBgn0004552,Akh,38495,,7218 // neuropeptide signaling pathway // traceable author statement,,5184 // neuropeptide hormone // inferred from direct assay /// 5184 // neuropeptide hormone // inferred from sequence similarity /// 5184 // neuropeptide hormone // traceable author statement /// 5179 // hormone // non-traceable author statement /// 5184 // neuropeptide hormone // non-traceable author statement,,IPR002047 // Adipokinetic hormone,,IPB002047 // Adipokinetic hormone family;3.5e-05,
145730_at,4531,11,10,20,-1.2,1.8,3.470598677,0.012093869,FBgn0031560,CG16713,33591,,,,4867 // serine protease inhibitor // extended:Unknown; Kunitz_BPTI; 1.6e-16,,IPR002223 // Pancreatic trypsin inhibitor (Kunitz),Kunitz_BPTI // Kunitz/Bovine pancreatic trypsin inhibito;1.6e-16,IPB002223 // Pancreatic trypsin inhibitor (Kunitz) family;3.3e-20,d1dtk__ // g.8.1.1 // Dendrotoxin K ;6.12e-14
142940_at,1741,1,1,1,1.1,1.8,5.29943666,0.012093869,FBgn0037850,CG14695,41314,,,,,,,,,
142739_at,1540,2,2,4,1.0,1.8,1.749199601,0.255501987,FBgn0040774,CG12922,50247,,,,,,,,IPB001637 // Glutamine synthetase class-I adenylation site;0.0065,
152827_at,11628,62,72,109,1.2,1.8,3.936701213,0.012093869,FBgn0037906,PGRP-LB,41379,,6952 // defense response // non-traceable author statement /// 16045 // perception of bacteria // non-traceable author statement /// 6955 // immune response // inferred from sequence similarity,5887 // integral to plasma membrane // non-traceable author statement,16019 // peptidoglycan recognition // non-traceable author statement /// 16019 // peptidoglycan recognition // inferred from sequence similarity /// 8745 // N-acetylmuramoyl-L-alanine amidase // extended:inferred from electronic annotation; Amidase_2; 1.7e-62,,,Amidase_2 // N-acetylmuramoyl-L-alanine amidase;1.7e-62,,d1lba__ // d.118.1.1 // Bacteriophage T7 lysozyme (Zn amidase) ;1.08e-49
152104_at,10905,48,52,84,1.1,1.8,4.321006481,0.012093869,FBgn0034557,CG15230,,,,,,,,,,
